MSN,YYYYMM,Value,Column_Order,Description,Unit
CPUCIUS,201006,217.965,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201007,218.011,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201008,218.312,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201009,218.439,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201010,218.711,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201011,218.803,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201012,219.179,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201013,218.056,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201101,220.223,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201102,221.309,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201103,223.467,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201104,224.906,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201105,225.964,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201106,225.722,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201107,225.922,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201108,226.545,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201109,226.889,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201110,226.421,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201111,226.23,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201112,225.672,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201113,224.939,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201201,226.665,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201202,227.663,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201203,229.392,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201204,230.085,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201205,229.815,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201206,229.478,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201207,229.104,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201208,230.379,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201209,231.407,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201210,231.317,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201211,230.221,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201212,229.601,1,Consumer Price Index (Urban),Index 1982-1984 = 100
