countrycode,year,v_c,v_i,v_g,v_x,v_m,v_gdp,q_c,q_i,q_g,q_x,q_m,q_gdp,pop,xr,xr2,v_gfcf,q_gfcf,emp,avh
CAF,1967,45092.55329773176,12841.89830535709,12987.82147533105,15468.64688118179,27580.87467273845,58810.04554100501,309102.9055301292,213246.7303646587,138508.9239295263,138731.5050950673,174513.80536666,579451.9093967921,1.723707046851307,246.0009001081874,246.0009001081874,,,,
CAF,1968,47865.24850200999,11236.65949832628,13863.40943958648,23771.6795241254,27456.64802911071,69280.35021087655,297088.0139885724,231837.5328590808,171951.7324190851,110985.2399969275,173138.9272119219,593799.4134548904,1.752962446292414,247.5646971042382,247.5646971042382,,,,
CAF,1969,52680.97396409538,11674.44996714774,14301.19987770504,19499.16971154917,26820.84058679078,71334.95234385281,321117.808172784,237305.6466686073,174319.2156593358,89056.70264721826,152527.8468068267,641992.1378202395,1.784394346182975,259.960601637173,259.960601637173,,,,
CAF,1970,54578.03559,13717.479243,15322.717988,24361.858335,31702.683197,76277.407959,326578.2957350871,261364.017092751,181126.7089787681,100692.310346717,170391.182419263,653905.9065542219,1.828709,276.4031370268448,276.4031370268448,13717.479243,289808.4750188134,,
CAF,1971,56621.078898,15176.78182,15322.717988,24122.13708,30293.863276,80948.852363,309559.4223948431,264209.03975803,165492.7637172037,91095.77194285765,148765.5199102453,634054.4207199515,1.864598,275.356456685332,275.356456685332,15176.78182,292963.1545078192,,
CAF,1972,60561.20760199999,15614.578503,16052.369203,21121.664847,28642.245883,84707.57441799999,310169.7903720367,254646.2619092797,162413.2304873327,74722.19690710056,131763.0781106695,621551.5541921102,1.900317,252.0276274626486,252.0276274626486,15614.578503,282359.6146887267,,
CAF,1973,59539.696163,18387.259163,17219.811264,25242.823699,32183.612302,88205.97798699999,306102.9718635085,301009.3812039347,174890.6666146219,89642.79680312736,148620.0665742693,649694.0730637742,1.936841,222.889183053227,222.889183053227,18387.259163,333768.4789477684,,
CAF,1974,79240.33063699999,15322.717988,19700.631409,27416.358607,42835.417073,98844.62156699999,352695.6811166834,217165.9682007208,173225.2970304835,84290.79907785349,171253.1489984465,630313.8903727245,1.975521,240.704667637823,240.704667637823,15322.717988,240800.3174405199,,
CAF,1975,104048.283853,16344.229718,20284.358423,25023.659253,47275.312046,118425.219202,393578.1098072521,196862.3129918991,151577.4515399943,65382.77915997782,160624.630429958,641785.9129954882,2.017372,214.312900341219,214.312900341219,16344.229718,218287.0130312395,,
CAF,1976,128418.904738,18825.049863,21305.870153,34903.87658,46135.961337,157317.739997,381908.0449964556,178265.8206456707,125171.7829089369,71700.14771514288,123239.8452018273,670281.9211838625,2.062405,238.950494267059,238.950494267059,18825.049863,197666.6383802809,,
CAF,1977,154978.318891,21014.0092,22473.318052,45841.126902,62429.279072,181877.493973,430714.350128532,185964.2327499761,123385.1557586134,88001.53232665846,155843.4089421332,724181.2969920657,2.110457,245.679686566576,245.679686566576,21159.939823,207634.8361472791,,
CAF,1978,171906.280001,21889.59454,28310.534049,47089.863702,68132.11748299999,201064.154811,437395.7419725223,177346.5028567975,142301.0814293917,82761.19706701842,155709.9662545636,732938.3582281412,2.162249,225.655860233957,225.655860233957,18241.328978,163872.7201450011,,
CAF,1979,189855.737227,21305.868256,34001.837666,48798.822491,76426.654563,217535.611078,435482.7941161294,155613.9727004066,154073.1578050242,77316.67018702425,157461.2896332435,714870.8478206197,2.218575,212.721644262377,212.721644262377,24370.411328,197368.3608350432,,
CAF,1980,230288.655851,17219.811556,37212.309172,61981.229011,100954.853814,245747.151776,446644.8964486333,106345.7836782908,142578.4003448053,83036.02129648169,175872.8152654644,682854.6376271658,2.279821,211.279555414705,211.279555414705,17073.880934,116920.1792250816,.89218771,
